LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID7937,7937,72,328,414.4573171,222.0792683,0,162,162,10.21790794,1,,255,255,255,255,83640,0,1,Infinity,0.148447236,0.533876342,11.67949546,9.233366647,2.666735601,1.264922743,328,84,0.584151015,0.93982808,4.638124095
ID8070,8070,72,181,267.5027624,224.5635359,0,177,177,7.590394548,1,,255,255,255,255,46155,0,1,Infinity,0.524194474,-0.298145643,9.339680186,6.41239702,2.391901612,1.456503731,181,78,0.373851591,0.820861678,5.797694341
ID8072,8072,72,286,293.2762238,202.0909091,0,185,185,9.541311621,1,,255,255,255,255,72930,0,1,Infinity,-0.10046105,0.296246476,11.4009943,7.987958739,1.197899902,1.427272557,286,82,0.534500594,0.916666667,4.848761647
ID8077,8077,72,337,285.504451,210.652819,0,184,184,10.35714399,1,,255,255,255,255,85935,0,1,Infinity,-0.194474008,0.312138588,11.67813114,9.238893204,0.416754164,1.264018414,337,84,0.600179549,0.93481276,4.57577157
ID8078,8078,72,432,270.8194444,216.1412037,0,182,182,11.72646029,1,,255,255,255,255,110160,0,1,Infinity,0.006147832,0.072210234,13.29050771,10.55778196,0.858632597,1.258835214,432,100,0.542867211,0.884339816,4.811252243
ID7823,7823,72,377,608.6472149,62.19098143,0,145,145,10.95458019,1,,255,255,255,255,96135,0,1,Infinity,0.052537112,-0.516636942,15.01641117,8.331520254,2.654504764,1.802361479,377,94,0.536161354,0.946047679,4.841246305
ID7826,7826,72,424,630.0990566,55.02830189,0,144,144,11.61737456,1,,255,255,255,255,108120,0,0.718918919,Infinity,2.038245224,0.671598749,14.12843334,11.84585352,0.448910442,1.192690195,424,102,0.512124293,0.890756303,4.953557898
ID8082,8082,72,446,274.5381166,213.9372197,0,183,183,11.91495737,1,,255,255,255,255,113730,0,1,Infinity,-0.184724541,0.071651819,14.34798149,9.734252206,0.74334983,1.473968537,446,106,0.49880752,0.916752312,5.019245472
ID7955,7955,72,370,469.9135135,211.5783784,0,157,157,10.85240332,1,,255,255,255,255,94350,0,1,Infinity,0.038716691,0.181968643,13.87932194,8.491760906,-0.697789265,1.634445682,370,96,0.504509237,0.931989924,4.990802351
ID8083,8083,72,140,329.3785714,184.6714286,0,188,188,6.675581178,1,,255,255,255,255,35700,0,1,Infinity,-0.013653518,-0.085894277,6.969434187,6.451070031,2.924574001,1.080353206,140,54,0.603323692,0.924092409,4.563832976
ID7958,7958,72,326,405.2147239,220.2423313,0,163,163,10.18670815,1,,255,255,255,255,83130,0,1,Infinity,0.167033829,0.25645658,12.01711206,8.861883721,2.451773858,1.356044882,326,84,0.580589119,0.938129496,4.652329715
ID7832,7832,72,809,570.23733,83.49320148,0,147,147,16.04720218,1,,255,255,255,255,206295,0,1,Infinity,0.27757747,-0.321186701,18.2363256,14.39689119,-0.046429634,1.266684964,809,140,0.518683359,0.897891232,4.922137878
ID7961,7961,72,230,382.6652174,214.6086957,0,165,165,8.556358678,1,,255,255,255,255,58650,0,1,Infinity,0.027015737,0.047486211,9.49624754,7.848879041,2.013802752,1.209885831,230,68,0.625057362,0.93877551,4.483787219
ID8089,8089,72,179,318.3240223,191.7597765,0,187,187,7.548342177,1,,255,255,255,255,45645,0,1,Infinity,0.005911496,-0.018701695,7.894592021,7.175307585,2.890439645,1.100244405,179,64,0.549165122,0.920308483,4.783584594
